Casename	Study	stat_para	stat_aneu	stat_red	stat_yel	stat_wht	stat_dom	stat_bod	stat_nek	stat_part	stat_press	
uic048.1	msa.2	max	2230337.12	2230337.12	     0.00	     0.00	1519156.04	1955309.18	2230337.12	2218664.42	2230337.12	
uic048.1	msa.2	min	  1256.42	  1256.42	     0.00	     0.00	  1256.42	188491.56	 33227.14	   571.60	   571.60	
uic048.1	msa.2	stddev	461147.34	448216.58	     0.00	     0.00	373565.43	404405.49	517250.67	291441.90	313514.35	
uic051.1	msa.2	mean	733581.06	749311.69	     0.00	     0.00	735828.41	754554.36	698264.47	341680.95	367233.32	
uic051.1	msa.2	max	1216131.63	1132215.69	     0.00	     0.00	974734.79	1158184.37	1216131.63	1198522.44	1216131.63	
uic051.1	msa.2	min	 31461.06	125318.56	     0.00	     0.00	616129.50	120637.51	 31461.06	  1334.37	  1334.37	
uic051.1	msa.2	stddev	255461.84	232498.74	     0.00	     0.00	 70858.97	217914.47	366382.31	193239.37	220279.10	
uic052.1	msa.2	mean	1019816.62	1175250.14	     0.00	     0.00	898003.74	1032975.08	1102555.45	633522.43	669787.00	
uic052.1	msa.2	max	2381686.38	2381686.38	     0.00	     0.00	1927929.47	2381686.38	2333292.26	1996884.08	2381686.38	
uic052.1	msa.2	min	  2486.46	 16667.28	     0.00	     0.00	 17215.22	 16667.28	  2486.46	   881.38	   881.38	
uic052.1	msa.2	stddev	537705.14	496965.52	     0.00	     0.00	412298.80	527476.01	623727.38	244038.42	306268.21	
uic052.2	msa.2	mean	190439.07	     0.00	     0.00	207475.95	152056.55	180891.55	239153.80	389632.38	382778.12	
uic052.2	msa.2	max	465398.42	     0.00	     0.00	494992.26	281089.76	363338.52	465398.42	1428015.46	1428015.46	
uic052.2	msa.2	min	  2469.01	     0.00	     0.00	  2469.01	  4915.44	  2469.01	 14134.41	   265.63	   265.63	
uic052.2	msa.2	stddev	 88075.31	     0.00	     0.00	 97185.72	 51861.56	 72633.55	111052.43	259330.74	257921.58	
uic054.1	msa.2	mean	692387.86	519849.87	     0.00	     0.00	675166.17	629474.82	859455.90	434457.49	458976.21	
uic054.1	msa.2	max	1363375.36	861087.21	     0.00	     0.00	1031219.25	1146055.27	1363375.36	1434362.26	1434362.26	
uic054.1	msa.2	min	  1804.72	  1497.94	     0.00	     0.00	  5769.29	  1804.72	113157.40	   152.45	   152.45	
uic054.1	msa.2	stddev	285632.09	195062.59	     0.00	     0.00	274890.07	225403.79	350485.88	235541.84	252357.90	
uic055.1	msa.2	mean	1418055.33	1692387.84	     0.00	     0.00	1376177.97	1430749.50	1469649.89	366706.65	713122.64	
uic055.1	msa.2	max	5256258.46	5256258.46	     0.00	     0.00	4288121.31	5256258.46	4201851.23	2018975.63	5256258.46	
uic055.1	msa.2	min	   633.59	  8997.21	     0.00	     0.00	   633.59	  7426.86	 13620.11	   197.62	   197.62	
uic055.1	msa.2	stddev	790045.61	861681.06	     0.00	     0.00	685876.29	869993.08	713727.50	214374.67	693308.45	
uic057.1	msa.2	mean	1080157.76	1151957.36	     0.00	336191.26	1135030.45	1086636.87	1004587.28	403714.51	447599.60	
uic057.1	msa.2	max	2221242.48	2221242.48	     0.00	1039877.18	1984347.76	2221242.48	2190565.24	1790691.55	2221242.48	
uic057.1	msa.2	min	  4378.87	  4378.87	     0.00	 17311.18	  8467.11	  4378.87	 28227.21	    40.36	    40.36	
uic057.1	msa.2	stddev	520377.46	511220.15	     0.00	219346.88	455749.80	519501.11	577900.15	227703.82	306289.32	
uic058.1	msa.2	mean	1192731.55	1732430.32	     0.00	271706.84	1466875.05	1144840.43	847990.82	347545.48	522554.90	
uic058.1	msa.2	max	4969876.77	4969876.77	     0.00	908483.86	3894822.92	4969876.77	1945140.87	1715036.11	4969876.77	
uic058.1	msa.2	min	   222.50	 18626.55	     0.00	   769.36	  4516.11	   222.50	  7145.75	   173.32	   173.32	
uic058.1	msa.2	stddev	790178.30	904244.58	     0.00	201567.66	814081.44	804857.90	503912.04	180730.08	521991.79	
uic067.1	msa.2	mean	1241382.31	1783489.55	     0.00	     0.00	1237310.68	1220388.74	1290839.78	422556.88	613336.38	
uic067.1	msa.2	max	3190643.72	3190643.72	     0.00	     0.00	3190643.72	2891473.05	2691817.08	2475177.26	3190643.72	
uic067.1	msa.2	min	  2667.04	108423.96	     0.00	     0.00	 17480.32	  3376.39	  2667.04	   319.32	   319.32	
uic067.1	msa.2	stddev	688239.30	915056.51	     0.00	     0.00	698634.52	713345.63	616525.58	260229.46	531151.15	
uic067.2	msa.2	mean	768700.35	587400.72	     0.00	510700.88	696709.64	771630.49	837209.35	352070.30	393196.26	
uic067.2	msa.2	max	1649424.13	1360869.36	     0.00	667925.51	989014.97	1649424.13	1601093.36	1474896.49	1649424.13	
uic067.2	msa.2	min	  4335.36	  4335.36	     0.00	447398.26	 56655.77	  4335.36	  5148.11	   145.54	   145.54	
uic067.2	msa.2	stddev	320140.84	324798.04	     0.00	 49322.28	142150.46	334803.56	396894.71	202249.61	249853.98	
uic069.1	msa.2	mean	1138779.51	     0.00	     0.00	     0.00	1004592.84	1247333.77	1138318.13	347349.70	550916.73	
uic069.1	msa.2	max	2831479.41	     0.00	     0.00	     0.00	2015171.73	2831479.41	2264234.51	1278145.27	2831479.41	
